(-69, 21, 69)
(40, 20, 50)
(-70, 31, 69)
(-36, 19, 49)
(8, 1, 2)
(69, 43, 70)
(-201, 495, 826)
(-75, 17, 88)
(-300, 70, 200)
(-61, 86, 89)
(-27, 36, 85)
(-26, 59, 93)
(34, 32, 44)
(8, 2, 7)
(-2, 0, 2)
(35, 24, 32)
(84, 39, 57)
(41, 35, 98)
(-7, 4, 5)
(-95, 64, 80)
(-692, 469, 566)
(71, 40, 200)
(-68, 44, 91)
(-82, 41, 69)
(-68, 29, 53)
(49, 38, 81)
(-93, 14, 21)
(77, 81, 86)
(-30, 24, 25)
(-36, 20, 35)
(-67, 18, 37)
(84, 43, 77)
(-514, 103, 574)
(9, 60, 200)
(86, 15, 57)
(602, 472, 827)
(5, 1, 2)
(-97, 32, 54)
(-46, 22, 97)
(1, 0, 1)
(-3, 0, 8)
(90, 11, 56)
(-15, 16, 87)
(67, 46, 91)
(-115, 30, 200)
(86, 18, 60)
(-53, 25, 76)
(593, 767, 938)
(1000, 80, 200)
(44, 13, 76)
(2, 1, 6)
(16, 50, 92)
(-200, 199, 201)
(-32, 19, 94)
(10, 0, 9)
(-9, 7, 9)
(-59, 56, 88)
(840, 266, 586)
(8, 8, 9)
(-99, 63, 73)
(-6, 0, 6)
(59, 15, 92)
(95, 20, 43)
(2, 2, 2)
(-34, 15, 51)
(99, 84, 86)
(90, 48, 92)
(7, 0, 7)
(93, 45, 72)
(13, 90, 97)
(-77, 21, 51)
(-78, 13, 70)
(-88, 70, 98)
(57, 93, 94)
(-48, 20, 51)
(877, 361, 887)
(-172, 668, 739)
(36, 10, 55)
(-3, 8, 9)
(93, 15, 20)
(100, 10, 100)
(-200, 20, 200)
(-31, 90, 200)
(64, 50, 81)
(6, 3, 9)
(34, 15, 63)
(97, 19, 69)
(-6, 4, 7)
(28, 48, 62)
(-430, 767, 905)
(8, 0, 4)
(-1, 0, 1)
(-17, 33, 78)
(-72, 24, 45)
(-41, 38, 52)
(-34, 50, 200)
(16, 14, 48)
(13, 0, 5)
(310, 387, 516)
(26, 62, 96)
