(-97, -48)
(266, 586)
(38, 81)
(32, 44)
(6, 8)
(335, 611)
(349, 469)
(-33, 93)
(4, 5)
(73, 84)
(11, 76)
(-91, -61)
(469, 566)
(3, 7)
(6, 9)
(142, 407)
(-816, -166)
(826, 899)
(7, 8)
(-64, 42)
(138, 858)
(4, 6)
(50, 92)
(-91, -41)
(-10, 48)
(-355, -297)
(68, 99)
(10, 97)
(18, 60)
(86, 90)
(60, 97)
(-358, 185)
(368, 679)
(4, 7)
(139, 767)
(465, 927)
(1, 8)
(44, 67)
(10, 79)
(-9, -7)
(2, 4)
(141, 262)
(-74, -17)
(-993, -51)
(3, 4)
(-616, -205)
(86, 99)
(827, 999)
(3, 9)
(34, 69)
(2, 7)
(-885, -817)
(5, 7)
(-100, -55)
(3, 6)
(4, 9)
(57, 84)
(514, 816)
(2, 3)
(56, 90)
(8, 9)
(-28, 573)
(18, 52)
(-3, 6)
(77, 84)
(28, 96)
(31, 50)
(7, 9)
(739, 928)
(408, 495)
(39, 43)
(46, 91)
(20, 93)
(13, 35)
(72, 93)
(682, 744)
(136, 618)
(90, 97)
(2, 9)
(-798, -379)
(3, 5)
(5, 8)
(2, 6)
(113, 392)
(6, 7)
(142, 980)
(60, 90)
(1, 7)
(15, 57)
(273, 451)
(-8, 8)
(5, 9)
(-23, 64)
(36, 52)
(43, 70)
(4, 8)
(584, 619)
(3, 8)
(782, 787)
(19, 32)
