(-95, 59, 77)
(58, 62, 70)
(-26, 25, 59)
(-14, 12, 92)
(-6, 1, 4)
(46, 13, 63)
(-858, 315, 352)
(-83, 34, 55)
(4, 20, 200)
(-59, 42, 89)
(-61, 22, 63)
(-46, 23, 65)
(28, 36, 40)
(8, 8, 8)
(3, 0, 0)
(71, 13, 68)
(91, 33, 35)
(80, 26, 74)
(6, 1, 8)
(-57, 73, 82)
(-158, 572, 806)
(1, 10, 10)
(-36, 59, 97)
(-19, 12, 77)
(-97, 25, 41)
(39, 45, 80)
(-69, 25, 31)
(22, 43, 59)
(-15, 52, 72)
(-82, 59, 79)
(-14, 66, 74)
(31, 38, 55)
(-215, 319, 612)
(3, 30, 30)
(57, 27, 90)
(885, 421, 489)
(3, 4, 4)
(-80, 12, 15)
(-12, 10, 52)
(2, 0, 0)
(5, 0, 5)
(20, 31, 92)
(-64, 10, 37)
(77, 66, 81)
(9, 0, 2)
(46, 21, 97)
(-27, 75, 88)
(649, 574, 744)
(5, 30, 300)
(28, 36, 46)
(-6, 5, 6)
(46, 42, 97)
(11, 11, 110)
(-63, 31, 72)
(2, 0, 1)
(6, 0, 5)
(-92, 70, 76)
(965, 255, 618)
(9, 0, 0)
(-15, 31, 67)
(7, 0, 0)
(55, 87, 89)
(84, 50, 54)
(4, 0, 0)
(-59, 14, 56)
(18, 14, 68)
(16, 40, 68)
(8, 0, 0)
(14, 43, 76)
(85, 70, 71)
(-37, 29, 51)
(-47, 11, 82)
(-97, 18, 38)
(99, 62, 63)
(-91, 12, 33)
(901, 601, 698)
(-586, 816, 883)
(90, 57, 67)
(-7, 8, 8)
(29, 27, 86)
(5, 0, 2)
(3, 0, 2)
(7, 40, 400)
(93, 52, 53)
(-9, 6, 8)
(88, 44, 73)
(16, 10, 56)
(-8, 0, 2)
(39, 30, 59)
(-173, 417, 890)
(5, 0, 0)
(1, 0, 0)
(-57, 23, 23)
(-85, 18, 93)
(-40, 75, 85)
(2, 20, 20)
(89, 17, 63)
(6, 0, 0)
(763, 161, 970)
(86, 86, 92)
