(-61, -64, 10, 28)
(54, 82, 73, 86)
(-41, -47, 38, 52)
(-71, -67, 86, 90)
(-6, 4, 0, 1)
(82, 90, 41, 56)
(-553, -737, 543, 584)
(-27, -96, 36, 85)
(3, -300, 70, 200)
(-11, -15, 32, 99)
(-85, -30, 22, 24)
(-30, -95, 35, 64)
(45, 20, 13, 18)
(2, 3, 7, 9)
(-2, 3, 0, 2)
(22, 32, 55, 80)
(56, 68, 81, 89)
(22, 82, 55, 66)
(4, -6, 1, 4)
(-46, -82, 48, 76)
(-897, -556, 315, 934)
(21, 71, 40, 200)
(-90, -67, 69, 97)
(-68, -85, 29, 53)
(-20, -26, 25, 80)
(72, 70, 69, 70)
(-36, -89, 20, 35)
(27, 57, 34, 81)
(-24, -11, 55, 84)
(-81, -94, 11, 76)
(-59, -79, 56, 88)
(51, 77, 25, 95)
(-722, -731, 281, 694)
(9, 11, 60, 200)
(23, 57, 77, 87)
(858, 952, 299, 382)
(-1, -7, 2, 7)
(-40, -12, 10, 76)
(-66, -32, 13, 76)
(2, 1, 0, 1)
(6, -3, 0, 9)
(27, 81, 29, 45)
(-77, -32, 57, 85)
(74, 15, 25, 70)
(-115, 115, 30, 200)
(55, 36, 11, 46)
(-90, -74, 42, 87)
(982, 319, 306, 957)
(10, 1000, 80, 200)
(67, 15, 46, 91)
(-1, -10, 6, 9)
(88, 58, 48, 59)
(17, -5, 200, 200)
(-65, -62, 13, 91)
(10, 100, 0, 9)
(-9, -7, 7, 9)
(-90, -59, 51, 76)
(546, 709, 240, 901)
(-3, 8, 0, 8)
(-74, -58, 10, 79)
(-5, -6, 0, 6)
(39, 15, 44, 59)
(81, 64, 31, 50)
(11, -7, 0, 3)
(-94, -95, 50, 92)
(55, 10, 58, 81)
(35, 87, 24, 32)
(5, 7, 7, 7)
(31, 11, 61, 88)
(15, 87, 42, 43)
(-37, -26, 68, 99)
(-61, -71, 38, 81)
(-33, -62, 81, 86)
(13, 35, 90, 97)
(-92, -50, 20, 93)
(850, 587, 250, 629)
(-649, -461, 828, 932)
(19, 32, 34, 69)
(-3, 6, 8, 9)
(71, 81, 14, 93)
(10, 100, 10, 100)
(-20, -200, 20, 200)
(-31, 13, 90, 200)
(76, 60, 78, 81)
(-9, -3, 1, 8)
(54, 28, 54, 79)
(15, 57, 18, 52)
(6, 1, 3, 9)
(90, 97, 28, 96)
(-863, -329, 138, 424)
(8, -3, 0, 4)
(1, -1, 0, 0)
(-61, -79, 86, 89)
(-53, -91, 93, 94)
(-30, -88, 57, 84)
(-34, 64, 50, 200)
(72, 62, 58, 75)
(-1, 13, 0, 5)
(275, 580, 154, 798)
(32, 44, 72, 93)
